region,date,weekid,rate,temp.max,temp.mean,temp.min,relative.humidity,total.rainfall,solar.radiation,wind.speed,absolute.humidity,pressure,temp.range,monthid
HK,1998/1/4,1,8.951163911,24.9,20.8,19.6,80.33333333,0,11.13,22.46666667,14.54396413,1018.1,3.433333333,1
HK,1998/1/11,2,5.677448748,25.9,19.87142857,19.8,81.71428571,0.035714286,9.22,25.3,14.16193261,1018.642857,4.085714286,1
HK,1998/1/18,3,6.557680812,24.5,18.11428571,19.2,83.57142857,6.871428571,7.082857143,28.5,13.08689713,1012.585714,4.728571429,1
HK,1998/1/25,4,11.19798016,18.7,13.51428571,15.8,81.42857143,0.128571429,4.768571429,31.44285714,9.667312755,1020.814286,3.985714286,1
HK,1998/2/1,5,13.11369714,18.4,14.18571429,14.7,76.28571429,0.021428571,8.411428571,31.81428571,9.393711854,1025.085714,3.128571429,2
HK,1998/2/8,6,14.21194781,20.6,14.34285714,17.5,83.42857143,1.864285714,7.46,27.11428571,10.54242044,1022.028571,4.285714286,2
HK,1998/2/15,7,20.34170419,24.6,18.62857143,20.4,76.85714286,0.714285714,11.43285714,18.5,12.51541487,1018.714286,4.342857143,2
HK,1998/2/22,8,24.83533892,26,20.62857143,19.6,90.28571429,14.65,5.401428571,22.11428571,16.36217783,1013.3,5.142857143,2
HK,1998/3/1,9,35.27797486,18.4,15.21428571,14.1,83.28571429,4.778571429,4.15,28.88571429,10.8026535,1018.414286,2.885714286,3
HK,1998/3/8,10,39.87889431,21.3,17.37142857,17.8,81.57142857,2.1,8.897142857,32.75714286,12.18722425,1017.3,2.871428571,3
HK,1998/3/15,11,29.0022947,26,17.75714286,21.1,83.57142857,4.407142857,6.7,21.25714286,12.95279535,1012.371429,4.728571429,3
HK,1998/3/22,12,23.48689009,27.6,19.45714286,20.8,90.42857143,1.378571429,7.802857143,23.62857143,15.27608217,1015.185714,4.385714286,3
HK,1998/3/29,13,17.72644586,26.8,19.9,21.7,87.28571429,0.1,12.31,28.4,15.21677156,1019.371429,4.457142857,3
HK,1998/4/5,14,10.54326267,27.5,22.7,21.9,81.57142857,0.021428571,18.42428571,22.37142857,16.53748413,1018.242857,5.085714286,4
HK,1998/4/12,15,6.921732599,29,25.3,24.6,83.57142857,0.014285714,16.34571429,11.5,19.59491829,1013.8,4.814285714,4
HK,1998/4/19,16,4.075068244,30.8,24.54285714,24.2,74,6.671428571,13.78285714,14.5,16.47704021,1011.785714,5.185714286,4
HK,1998/4/26,17,1.758019456,29.4,25.84285714,26.8,83.85714286,5.871428571,9.955714286,23.35714286,20.32155996,1012.1,3.728571429,4
HK,1998/5/3,18,2.95,29.9,25.57142857,25.7,87.14285714,31.23571429,9.482857143,16.34285714,20.71435287,1010.885714,4.271428571,5
HK,1998/5/10,19,4.794497432,31.3,26.55714286,26.8,84.14285714,1.178571429,18.08571429,15.22857143,21.164504,1012.171429,4.3,5
HK,1998/5/17,20,5.219029018,32.2,28.1,27.3,82,8.307142857,17.77857143,13.17142857,22.4213124,1009.485714,4.657142857,5
HK,1998/5/24,21,4.725747891,29.9,26.94285714,26.5,88.71428571,8.607142857,9.15,21.06,22.76524922,1009.157143,2.9,5
HK,1998/5/31,22,5.828286189,31.1,25.55714286,26.5,81.28571429,14.68571429,11.31285714,19.78571429,19.39380538,1007.171429,4.342857143,5
HK,1998/6/7,23,5.823312884,30.5,26.75714286,27.3,88.71428571,20.44285714,7.677142857,24.91428571,22.6042516,1006.4,3.028571429,6
HK,1998/6/14,24,3.390511628,31.9,26.78571429,28.5,87.42857143,76.32142857,7.768571429,21.58571429,22.22013116,1007.214286,4.1,6
HK,1998/6/21,25,5.732713856,32.7,30.21428571,29.4,78.28571429,1.9,14.59142857,31.17142857,24.03827976,1006.142857,3.228571429,6
HK,1998/6/28,26,5.915424974,31.7,28.71428571,28.3,84.71428571,22.57142857,8.144285714,27.51666667,23.91398647,1006.414286,3.628571429,6
HK,1998/7/5,27,5.802439025,32.7,27.9,27.4,85.71428571,20.69285714,14.85857143,24.78333333,23.16739123,1010.971429,5.114285714,7
HK,1998/7/12,28,5.558027946,32.5,27.75714286,27.6,84.28571429,2,16.61571429,22.05,22.58851284,1007.928571,4.714285714,7
HK,1998/7/19,29,8.670308193,32.4,29.27142857,28.8,80.71428571,13.14285714,19.03428571,27.81428571,23.51979575,1006.985714,4.185714286,7
HK,1998/7/26,30,5.052027246,32.7,30.21428571,29.3,76.42857143,1.957142857,19.28142857,30.01428571,23.46669056,1004.857143,3.442857143,7
HK,1998/8/2,31,7.48466731,33.3,30.3,29.1,76,0.864285714,23.12857143,22.02857143,23.4433506,1007.414286,4.628571429,8
HK,1998/8/9,32,7.004124264,34.4,30.08571429,29.4,77,7.328571429,18.03571429,16.85714286,23.43683157,1007.871429,4.671428571,8
HK,1998/8/16,33,4.439774859,33.1,28.82857143,28.1,80.57142857,11.65714286,19.74428571,18.04285714,22.88667049,1009.085714,4.757142857,8
