"model","week_ahead","choose_window_interval","avg_wis","cov50","cov90"
"baseline","0","5",1.11050134029227,0.410628019323671,0.821256038647343
"baseline","1","34",1.96908881518665,0.57487922705314,0.835748792270531
"baseline","2","42",2.62896882570026,0.579710144927536,0.835748792270531
"baseline","3","46",3.18742706873701,0.563106796116505,0.820388349514563
"baseline","4","46",3.60368289635441,0.560975609756098,0.819512195121951
"baseline","5","46",3.8945307123294,0.534313725490196,0.774509803921569
"baseline","6","44",4.10689154738356,0.532019704433498,0.783251231527094
"baseline","7","42",4.26611833408203,0.48019801980198,0.787128712871287
"baseline","8","34",4.39264229259223,0.472636815920398,0.791044776119403
"ARIMA_rolling","0","5",1.36297640907451,0.444444444444444,0.797101449275362
"ARIMA_rolling","1","30",1.98267765801636,0.57487922705314,0.801932367149758
"ARIMA_rolling","2","38",2.35636215508047,0.623188405797101,0.806763285024155
"ARIMA_rolling","3","38",2.59880294214286,0.621359223300971,0.810679611650486
"ARIMA_rolling","4","40",2.7468582850497,0.639024390243903,0.819512195121951
"ARIMA_rolling","5","48",2.84180693683586,0.627450980392157,0.823529411764706
"ARIMA_rolling","6","40",2.85742865300611,0.600985221674877,0.827586206896552
"ARIMA_rolling","7","40",2.87619163679529,0.599009900990099,0.831683168316832
"ARIMA_rolling","8","48",2.92172117531927,0.646766169154228,0.835820895522388
"GARCH_rolling","0","5",1.1773159828719,0.454106280193237,0.85024154589372
"GARCH_rolling","1","46",1.88862283116931,0.63768115942029,0.830917874396135
"GARCH_rolling","2","48",2.33375402330089,0.642512077294686,0.826086956521739
"GARCH_rolling","3","46",2.60549190693969,0.650485436893204,0.83495145631068
"GARCH_rolling","4","48",2.78384336116592,0.639024390243903,0.839024390243903
"GARCH_rolling","5","48",2.86388614744608,0.598039215686275,0.818627450980392
"GARCH_rolling","6","38",2.90820186511421,0.561576354679803,0.822660098522168
"GARCH_rolling","7","36",2.89811858684485,0.594059405940594,0.826732673267327
"GARCH_rolling","8","40",2.93959969425373,0.587064676616916,0.840796019900498
"RF_rolling","0","5",1.67387259490352,0.352657004830918,0.647342995169082
"RF_rolling","1","8",2.01974356159354,0.405797101449275,0.690821256038647
"RF_rolling","2","8",2.22378260490896,0.410628019323672,0.714975845410628
"RF_rolling","3","12",2.45112976307219,0.480582524271844,0.718446601941748
"RF_rolling","4","12",2.60222305080224,0.458536585365853,0.726829268292683
"RF_rolling","5","18",2.73961445765379,0.519607843137255,0.740196078431373
"RF_rolling","6","18",2.73898893780614,0.507389162561576,0.74384236453202
"RF_rolling","7","20",2.82035297028445,0.49009900990099,0.747524752475247
"RF_rolling","8","26",2.89065461838386,0.497512437810945,0.751243781094527
"XGB_rolling","0","5",1.65806268106965,0.376811594202899,0.705314009661836
"XGB_rolling","1","8",2.12977963023308,0.434782608695652,0.714975845410628
"XGB_rolling","2","10",2.3456333361474,0.449275362318841,0.739130434782609
"XGB_rolling","3","16",2.56019501522813,0.553398058252427,0.742718446601942
"XGB_rolling","4","20",2.72741859201506,0.521951219512195,0.746341463414634
"XGB_rolling","5","26",2.83103168080829,0.534313725490196,0.784313725490196
"XGB_rolling","6","28",2.88107570811487,0.532019704433498,0.793103448275862
"XGB_rolling","7","30",2.95174868491597,0.534653465346534,0.797029702970297
"XGB_rolling","8","32",2.89146731394143,0.54228855721393,0.810945273631841
